timestamp,day,hour,GPP,stomatal_conductance,Jmax,Vcmax,Chi,Dpsi,Profit,Evap,Transp,CanopyEvap,GroundEvap,SoilMoist,SoilMoistPot
2026-01-01T00:15:00Z,1,0,0.0,0.0,4.539992976248485e-05,0.0,1.0,0.0001,-2.773995785749695e-06,1.5817947977704575e-06,0.0,0.0,1.5817947977704575e-06,0.4858751288161078,-0.00029812006854593415
2026-01-01T01:15:00Z,1,1,0.0,0.0,4.539992976248485e-05,0.0,1.0,0.0001,-2.773995785746495e-06,1.4924906496019208e-06,0.0,0.0,1.4924906496019208e-06,0.48575133909740736,-0.00029896524790357234
2026-01-01T02:15:00Z,1,2,0.0,0.0,4.539992976248485e-05,0.0,1.0,0.0001,-2.7739957857511093e-06,1.319966070815361e-06,0.0,0.0,1.319966070815361e-06,0.4856291226102451,-0.0002998008610407621
2026-01-01T03:15:00Z,1,3,0.0,0.0,4.539992976248485e-05,0.0,1.0,0.0001,-2.773995785747737e-06,1.1586707736612096e-06,0.0,0.0,1.1586707736612096e-06,0.48550840239274,-0.0003006273927349232
2026-01-01T04:15:00Z,1,4,0.0,0.0,4.539992976248485e-05,0.0,1.0000000000000002,0.0001,-2.773995785760092e-06,1.0079949359542276e-06,0.0,0.0,1.0079949359542276e-06,0.48538910559398757,-0.0003014453028283787
2026-01-01T05:15:00Z,1,5,0.0,0.0,4.539992976248485e-05,0.0,1.0000000000000002,0.0001,-2.773995785745136e-06,8.637407841340775e-07,0.0,0.0,8.637407841340775e-07,0.48527118497487104,-0.0003022548782584702
2026-01-01T06:15:00Z,1,6,0.0,0.0,4.539992976248485e-05,0.0,1.0,0.0001,-2.7739957857395977e-06,0.0,0.0,0.0,0.0,0.4851589490538721,-0.00030302644429431035
2026-01-01T07:15:00Z,1,7,2.3245983977755668e-11,0.0012689426661812002,0.08647928374690243,0.01432737879686314,0.9779740484342399,0.0010195569774910376,0.0077972891770827935,2.698055273995655e-09,2.698055273995655e-09,0.0,0.0,0.48504717268046565,-0.0003037958404668747
2026-01-01T08:15:00Z,1,8,3.8701148495573957e-10,0.007830654266749481,1.4425789397022983,0.24090397163958047,0.9390454491057413,0.007444787985128751,0.12941765009921483,2.0262800711531495e-08,2.0262800711531495e-08,0.0,0.0,0.48493576248504944,-0.0003045637005373062
2026-01-01T09:15:00Z,1,9,9.972390003678706e-10,0.014139857559853726,3.727572722144897,0.6291764069520139,0.909074373122408,0.015801230051179647,0.3321958285024009,4.452867115892526e-08,4.4528671158925264e-08,0.0,0.0,0.48482467452213285,-0.0003053303202676783
2026-01-01T10:15:00Z,1,10,1.2737862078087095e-09,0.015273852446733838,4.769668109910878,0.8113956266126501,0.893025798858208,0.020272990749912147,0.42323802802507743,5.950243712488855e-08,5.950243712488855e-08,0.0,0.0,0.48471396102247716,-0.00030609533197850826
2026-01-01T11:15:00Z,1,11,1.0920341902442034e-09,0.013132293620540393,4.097446783240512,0.7024334865280706,0.8922092724461684,0.019513026192309366,0.3621027315229698,5.946973333866268e-08,5.946973333866268e-08,0.0,0.0,0.4846037083169404,-0.0003068581300683945
2026-01-01T12:15:00Z,1,12,4.3277682515830593e-10,0.006896101002900826,1.6244900880637103,0.2784463962018571,0.9187276687102885,0.010497201960123957,0.1436655209648684,3.251686050174056e-08,3.251686050174056e-08,0.0,0.0,0.4844940738952455,-0.00030761761264293204
2026-01-01T13:15:00Z,1,13,9.436417408836315e-12,0.0005278183970124881,0.03539427074213337,0.006030114014881629,0.976905727000196,0.000779312543980346,0.0031437291405820413,2.420275571601999e-09,2.420275571601999e-09,0.0,0.0,0.48438507197853126,-0.00030837366666754563
2026-01-01T14:15:00Z,1,14,0.0,0.0,4.539992976248485e-05,0.0,1.0,0.0001,-2.7739957857500954e-06,0.0,0.0,0.0,0.0,0.48427653185580705,-0.0003091274637765294
2026-01-01T15:15:00Z,1,15,0.0,0.0,4.539992976248485e-05,0.0,1.0,0.0001,-2.773995785748823e-06,0.0,0.0,0.0,0.0,0.4841684350943872,-0.000309879122024497
2026-01-01T16:15:00Z,1,16,0.0,0.0,4.539992976248485e-05,0.0,1.0,0.0001,-2.773995785748542e-06,0.0,0.0,0.0,0.0,0.4840607778943703,-0.0003106286581710967
2026-01-01T17:15:00Z,1,17,0.0,0.0,4.539992976248485e-05,0.0,1.0,0.0001,-2.773995785754817e-06,0.0,0.0,0.0,0.0,0.4839535565060942,-0.00031137608876167296
2026-01-01T18:15:00Z,1,18,0.0,0.0,4.539992976248485e-05,0.0,0.9999999999999998,0.0001,-2.7739957857412947e-06,0.0,0.0,0.0,0.0,0.4838467672292353,-0.0003121214301310581
2026-01-01T19:15:00Z,1,19,0.0,0.0,4.539992976248485e-05,0.0,1.0,0.0001,-2.7739957857587504e-06,0.0,0.0,0.0,0.0,0.4837404064119288,-0.0003128646984072771
2026-01-01T20:15:00Z,1,20,0.0,0.0,4.539992976248485e-05,0.0,1.0,0.0001,-2.7739957857485136e-06,0.0,0.0,0.0,0.0,0.4836344704499075,-0.00031360590951517374
2026-01-01T21:15:00Z,1,21,0.0,0.0,4.539992976248485e-05,0.0,1.0000000000000002,0.0001,-2.7739957857524345e-06,0.0,0.0,0.0,0.0,0.4835289557856613,-0.0003143450791799519
2026-01-01T22:15:00Z,1,22,0.0,0.0,4.539992976248485e-05,0.0,1.0,0.0001,-2.773995785749113e-06,0.0,0.0,0.0,0.0,0.4834238589076148,-0.00031508222293063955
2026-01-01T23:15:00Z,1,23,0.0,0.0,4.539992976248485e-05,0.0,1.0,0.0001,-2.7739957857520677e-06,0.0,0.0,0.0,0.0,0.4833191763493228,-0.00031581735610347627
2026-01-02T00:15:00Z,2,0,0.0,0.0,4.539992976248485e-05,0.0,0.9999999999999998,0.0001,-2.7739957857406773e-06,0.0,0.0,0.0,0.0,0.48321490468868444,-0.0003165504938452258
2026-01-02T01:15:00Z,2,1,0.0,0.0,4.539992976248485e-05,0.0,1.0,0.0001,-2.7739957857495283e-06,0.0,0.0,0.0,0.0,0.483111040547174,-0.00031728165111641685
2026-01-02T02:15:00Z,2,2,0.0,0.0,4.539992976248485e-05,0.0,1.0,0.0001,-2.7739957857461415e-06,0.0,0.0,0.0,0.0,0.48300758058908877,-0.00031801084269451137
2026-01-02T03:15:00Z,2,3,0.0,0.0,4.539992976248485e-05,0.0,1.0,0.0001,-2.7739957857468415e-06,0.0,0.0,0.0,0.0,0.48290452152081326,-0.00031873808317700597
2026-01-02T04:15:00Z,2,4,0.0,0.0,4.539992976248485e-05,0.0,1.0,0.0001,-2.7739957857495334e-06,0.0,0.0,0.0,0.0,0.4828018600900997,-0.0003194633869844643
2026-01-02T05:15:00Z,2,5,0.0,0.0,4.539992976248485e-05,0.0,1.0,0.0001,-2.773995785750837e-06,0.0,0.0,0.0,0.0,0.48269959308536314,-0.0003201867683634882
2026-01-02T06:15:00Z,2,6,0.0,0.0,4.539992976248485e-05,0.0,1.0,0.0001,-2.7739957857499773e-06,0.0,0.0,0.0,0.0,0.4825977173349932,-0.0003209082413896209
2026-01-02T07:15:00Z,2,7,1.591890405206738e-11,0.000850373651658582,0.04822866055407379,0.00843572751812887,0.9802262857184326,0.0009278509935997021,0.004229755680724609,4.042106593396134e-09,4.042106593396134e-09,0.0,0.0,0.48249620545403954,-0.0003216279920308997
